id,name,category,subcategory,type,price,brand,quantity
21,Peaches 1 kg,Fruit and Vegetables,Fruit,Peach,4,Stone Fruit Co,1 kg
22,White Peaches 1 kg,Fruit and Vegetables,Fruit,Peach,3.5,MS Imported,1 kg
23,Anjou Pears 1 kg,Fruit and Vegetables,Fruit,Pear,4,Pearfection,1 kg
24,Bartlett Pears 1 kg,Fruit and Vegetables,Fruit,Pear,3.5,MS Imported,1 kg
25,Seedless Watermelon 3 kg,Fruit and Vegetables,Fruit,Watermelon,6,MS Imported,3 kg
26,Cantaloupe 2 kg,Fruit and Vegetables,Fruit,Melon,6,MS Imported,2 kg
27,Baby Spinach 200 g,Fruit and Vegetables,Vegetable,Spinach,1,Leafy Greens,200 g
28,Romaine Lettuce 200 g,Fruit and Vegetables,Vegetable,Lettuce,1.2,MS Domestic,200 g
29,Green Bell Peppers 500 g,Fruit and Vegetables,Vegetable,Bell Pepper,2,Fresh Picks,500 g
30,Yellow Bell Peppers 500 g,Fruit and Vegetables,Vegetable,Bell Pepper,2,MS Domestic,500 g
31,Broccoli Florets 500 g,Fruit and Vegetables,Vegetable,Broccoli,2,MS Domestic,500 g
32,Cauliflower Heads 500 g,Fruit and Vegetables,Vegetable,Cauliflower,3.1,Cruciferous Delight,500 g
33,Zucchini 1 kg,Fruit and Vegetables,Vegetable,Zucchini,2.8,MS Domestic,1 kg
34,Avocados Hass 500 g,Fruit and Vegetables,Fruit,Avocado,2.9,Avocado Inc,500 g
35,Cherries Dark Red 1 kg,Fruit and Vegetables,Fruit,Cherry,4.2,Cherry Lane,1 kg
36,Organic Strawberries 500 g,Fruit and Vegetables,Fruit,Strawberry,1.7,MS Domestic,500 g
37,Wild Blueberries 500 g,Fruit and Vegetables,Fruit,Blueberry,3.9,Berry Co,500 g
38,Raspberry Delight 500 g,Fruit and Vegetables,Fruit,Raspberry,4,Berry Best,500 g
39,Savoy Cabbage 1 kg,Fruit and Vegetables,Vegetable,Cabbage,3,Leafy Greens,1 kg
40,Eggplant Globe 1 kg,Fruit and Vegetables,Vegetable,Eggplant,2.8,MS Domestic,1 kg
41,Cremini Mushrooms 500 g,Fruit and Vegetables,Vegetable,Mushroom,4.7,Mushroom Delight,500 g
42,Pink Grapefruit 1 kg,Fruit and Vegetables,Fruit,Grapefruit,4,Citrus Grove,1 kg
43,Purple Cabbage 1 kg,Fruit and Vegetables,Vegetable,Cabbage,2,Leafy Greens,1 kg
44,Yellow Zucchini 1 kg,Fruit and Vegetables,Vegetable,Zucchini,3,Home Brand,1 kg
45,Green Kale 1 kg,Fruit and Vegetables,Vegetable,Kale,4.1,Super Greens,1 kg
46,Baby Corn 500 g,Fruit and Vegetables,Vegetable,Corn,1.2,Corn Fields,500 g
47,Red Grapes 1 kg,Fruit and Vegetables,Fruit,Grape,2.8,Vine Fresh,1 kg
48,Dried Figs 500 g,Fruit and Vegetables,Fruit,Fig,3.3,Fig Delights,500 g
49,Yellow Plums 1 kg,Fruit and Vegetables,Fruit,Plum,2.1,Plum Perfect,1 kg
50,Fresh Cilantro 50 g,Fruit and Vegetables,Vegetable,Coriander,1.4,Herb Haven,50 g
51,Alfalfa Sprouts 200 g,Fruit and Vegetables,Vegetable,Sprout,1,Sprout Co.,200 g
52,Navel Oranges 1 kg,Fruit and Vegetables,Fruit,Orange,2.7,Citrus Heaven,1 kg
53,Red Beets 1 kg,Fruit and Vegetables,Vegetable,Beet,1.8,Rooted Fresh,1 kg
54,Asian Pears 1 kg,Fruit and Vegetables,Fruit,Pear,2,Asian Orchard,1 kg
55,Lime 500 g,Fruit and Vegetables,Fruit,Lime,2.4,MS Imported,500 g
56,Kiwi 1 kg,Fruit and Vegetables,Fruit,Kiwi,4,Kiwi farms,1 kg
57,MS fresh light milk 2 lt,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,1.9,My Super,2 lt
58,MS fresh light milk 1 lt,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,1,My Super,1 lt
59,HF fresh light milk 2 lt,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,2.6,Happy farms,2 lt
60,HF fresh light milk 1 lt,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,1.5,Happy farms,1 lt
61,MS fresh full-fat milk 2 lt,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,1.9,My Super,2 lt
62,MS fresh full-fat milk 1 lt,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,1,My Super,1 lt
63,HF fresh full-fat milk 2 lt,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,2.6,Happy farms,2 lt
64,HF fresh full-fat milk 1 lt,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,1.5,Happy farms,1 lt
65,HF fresh goat milk 1 lt,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,2.5,Happy farms,1 lt
66,HF kefir 500 ml,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,1.5,Happy farms,500 ml
67,HF chocolate milk 500 ml,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,1.5,Happy farms,500 ml
68,MS evaporated light milk 400g ,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,0.85,My Super,400 g
69,MS evaporated light milk 170g ,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,0.47,My Super,170 g
70,MS evaporated full-fat milk 400g ,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,0.85,My Super,400 g
71,MS evaporated full-fat milk 170g ,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,0.47,My Super,170 g
72,MS UHT light milk 1 lt,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,1.1,My Super,1 lt
73,MS UHT full-fat milk 1 lt,Dairy-Plant Based Beverages-Chilled Products,Dairy,Milk,1.1,My Super,1 lt
74,MS strained yogurt 2% 1 kg,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,2.7,My Super,1 kg
75,MS strained yogurt 10% 1 kg,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,2.7,My Super,1 kg
76,MS strained yogurt 5% 1 kg,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,2.7,My Super,1 kg
77,MS strained yogurt 0% 1 kg,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,2.7,My Super,1 kg
78,MS strained yogurt 2% 500 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.5,My Super,500 g
79,MS strained yogurt 10% 500 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.5,My Super,500 g
80,MS strained yogurt 5% 500 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.5,My Super,500 g
81,MS strained yogurt 0% 500 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.5,My Super,500 g
82,MS strained yogurt 2% 3 x 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,3,My Super,600 g
83,MS strained yogurt 10% 3 x 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,3,My Super,600 g
84,MS strained yogurt 5% 3 x 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,3,My Super,600 g
85,MS strained yogurt 0% 3 x 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,3,My Super,600 g
86,PD goat light yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.7,Pure Dairy,200 g
87,PD sheep  light yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.6,Pure Dairy,200 g
88,PD goat full-fat yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.7,Pure Dairy,200 g
89,PD sheep  full-fat yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.6,Pure Dairy,200 g
90,PD Greek yogurt 2% 3 x 200g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,4,Pure Dairy,600 g
91,PD Greek yogurt 5% 3 x 200g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,4,Pure Dairy,600 g
92,PD chocolate yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.6,Pure Dairy,200 g
93,PD fruit-mix yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.6,Pure Dairy,200 g
94,PD high-protein chocolate yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.6,Pure Dairy,200 g
95,PD nut-mix yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.6,Pure Dairy,200 g
96,PD stracciatella yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.6,Pure Dairy,200 g
97,PD cookies yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.6,Pure Dairy,200 g
98,PD strawberry yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.6,Pure Dairy,200 g
99,PD banana yogurt 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,1.6,Pure Dairy,200 g
100,PD  kid-desert yogurt 3 x 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,4,Pure Dairy,600 g
101,PD kid-fruit yogurt 3 x 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Yogurt,4,Pure Dairy,600 g
102,CK chocolate cream 160 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Cream,1.8,Cream king,160 g
103,CK rice pudding 160 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Cream,1.8,Cream king,160 g
104,CK vanilla cream 160 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Cream,1.8,Cream king,160 g
105,CK caramel cream 160 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Cream,1.8,Cream king,160 g
106,CK chocolate cream 160 g sugar free,Dairy-Plant Based Beverages-Chilled Products,Dairy,Cream,1.8,Cream king,160 g
107,CK vanilla cream 160 g sugar free,Dairy-Plant Based Beverages-Chilled Products,Dairy,Cream,1.8,Cream king,160 g
108,MS pudding 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Cream,1.5,My Super,200 g
109,CK whipped cream 250 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Cream,2.9,Cream king,250 g
110,CK heavy cream 3 x 200 ml,Dairy-Plant Based Beverages-Chilled Products,Dairy,Cream,4.7,Cream king,600 ml
111,MS heavy cream 200 ml,Dairy-Plant Based Beverages-Chilled Products,Dairy,Cream,1.8,My Super,200 ml
112,B4A butter 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Butter,2.3,Butter4all,200 g
113,B4A butter light 200 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Butter,2.5,Butter4all,200 g
114,B4A butter soft 225 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Butter,3,Butter4all,225 g
115,B4A butter soft light 225 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Butter,3.2,Butter4all,225 g
116,MS butter 250 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Butter,2,My Super,250 g
117,MS butter soft 250 g,Dairy-Plant Based Beverages-Chilled Products,Dairy,Butter,2,My Super,250 g
118,PW soy milk 1 lt,Dairy-Plant Based Beverages-Chilled Products,Plant Based Beverages,Soy milk,2.5,Plant world,1 lt
119,PW chocolate soy milk 500 ml,Dairy-Plant Based Beverages-Chilled Products,Plant Based Beverages,Soy milk,1.9,Plant world,500 ml
120,PW vanilla soy milk 500 ml,Dairy-Plant Based Beverages-Chilled Products,Plant Based Beverages,Soy milk,1.8,Plant world,500 ml
121,PW almond milk 1 lt,Dairy-Plant Based Beverages-Chilled Products,Plant Based Beverages,Almond milk,2.8,Plant world,1 lt
122,PW strawberry flavored almond milk 500 ml,Dairy-Plant Based Beverages-Chilled Products,Plant Based Beverages,Almond milk,2,Plant world,500 ml
123,PW oat milk 1 lt,Dairy-Plant Based Beverages-Chilled Products,Plant Based Beverages,Oat milk,2.5,Plant world,1 lt
124,PW chocolate oat milk  500 ml,Dairy-Plant Based Beverages-Chilled Products,Plant Based Beverages,Oat milk,1.8,Plant world,500 ml
125,MS margarine 200 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Margarine,1.1,My Super,200 g
126,MS margarine soft 200 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Margarine,1.1,My Super,200 g
127,Votam margarine 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Margarine,1.8,Votam,250 g
128,Votam margarine soft 400 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Margarine,2.3,Votam,400 g
129,Votam margarine soft light 400 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Margarine,2.3,Votam,400 g
130,Votam margarine soft 800 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Margarine,4,Votam,800 g
131,Kider milk wafer 48 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Confectionery,0.8,Kider,48 g
132,Kider milk wafer 5 x 48 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Confectionery,3,Kider,240 g
133,Kider delice 30 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Confectionery,0.6,Kider,30 g
134,Kider delice 5 x 30 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Confectionery,2.5,Kider,150 g
135,Kider wafer maxi 35 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Confectionery,1,Kider,35 g
136,SC milk cake chocolate bar 3 x 35 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Confectionery,2.5,Sweets and Co.,105 g
137,SC milk cake honey bar 3 x 35 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Confectionery,2.5,Sweets and Co.,105 g
138,SC mix-fruit jelly 125 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Confectionery,1.2,Sweets and Co.,125 g
139,SC pineapple jelly 125 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Confectionery,1.2,Sweets and Co.,125 g
140,SC lemon jelly 125 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Confectionery,1.2,Sweets and Co.,125 g
141,SC jelly with cream 150 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Confectionery,2,Sweets and Co.,150 g
142,MS htipiti 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,2,My Super,250 g
143,MS kopanisti 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,2,My Super,250 g
144,MS tzatziki 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,2,My Super,250 g
145,MS paprika 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,2,My Super,250 g
146,MS farmers salad 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,2.2,My Super,250 g
147,MS russian salad 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,1.9,My Super,250 g
148,MS guacamole 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,1.8,My Super,250 g
149,MS cheese salad spicy 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,2,My Super,250 g
150,MS hummus 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,2.5,My Super,250 g
151,MS eggplant salad 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,2.5,My Super,250 g
152,MS tuna salad 250 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,3,My Super,250 g
153,MS coleslaw 130 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,1.5,My Super,130 g
154,MS roka lettuce mix 140 g,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Salad,1.7,My Super,140 g
155,MS eggs 10 pieces,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Chicken egg,2,My Super,10 pieces
156,CF eggs 10 pieces,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Chicken egg,2.2,Chicken farm,10 pieces
157,CF eggs bio 10 pieces,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Chicken egg,3.7,Chicken farm,10 pieces
158,CF free range eggs 10 pieces,Dairy-Plant Based Beverages-Chilled Products,Chilled Products,Chicken egg,3.5,Chicken farm,10 pieces
159,BH beef brisket 600 g,Butchery,Meat,Beef,7,Butcher house,600 g
160,BH beef boneless strip loin,Butchery,Meat,Beef,7.4,Butcher house,650 g
161,BH beef cheek 400 g,Butchery,Meat,Beef,10,Butcher house,400 g
162,BH beef chuck and blade 700 g,Butchery,Meat,Beef,8.5,Butcher house,700 g
163,BH beef chuck eye steak 700 g,Butchery,Meat,Beef,9,Butcher house,700 g
164,BH beef flank steak 800 g,Butchery,Meat,Beef,9,Butcher house,800 g
165,BH beef shank 1 kg,Butchery,Meat,Beef,12,Butcher house,1 kg
166,BH beef ribs 600 g,Butchery,Meat,Beef,10,Butcher house,600 g
167,BH beef mince 500 g,Butchery,Meat,Beef,6,Butcher house,500 g
168,BH pork belly 600 g,Butchery,Meat,Pork,5,Butcher house,600 g
169,BH pork skewer 700 g,Butchery,Meat,Pork,6,Butcher house,700 g
170,BH pork steak 700 g,Butchery,Meat,Pork,6,Butcher house,700 g
171,BH pork ribs 700 g,Butchery,Meat,Pork,8,Butcher house,700 g
172,BH pork chops 800 g,Butchery,Meat,Pork,10,Butcher house,800 g
173,BH pork mince 500 g,Butchery,Meat,Pork,5,Butcher house,500 g
174,BH pork leg 600 g,Butchery,Meat,Pork,6,Butcher house,600 g
175,BH pork liver 400 g,Butchery,Meat,Pork,5,Butcher house,400 g
176,BH pork schnitzel 650 g,Butchery,Meat,Pork,7,Butcher house,650 g
177,BH goat ribs 500 g,Butchery,Meat,Goat,6,Butcher house,500 g
178,BH goat chopped 800 g,Butchery,Meat,Goat,9,Butcher house,800 g
179,OC chicken thigh 700 g,Butchery,Poultry,Chicken,4,Only chicken,700 g
180,OC chicken breast 700 g,Butchery,Poultry,Chicken,4.5,Only chicken,700 g
181,OC chicken wings 700 g,Butchery,Poultry,Chicken,4,Only chicken,700 g
182,OC chicken whole 1.5 kg,Butchery,Poultry,Chicken,5,Only chicken,1.5 kg
183,OC chicken thigh fillet 700 g,Butchery,Poultry,Chicken,6,Only chicken,700 g
184,OC chicken breast fillet 700 g,Butchery,Poultry,Chicken,7,Only chicken,700 g
185,MS chicken thigh fillet 800 g,Butchery,Poultry,Chicken,6,My Super,800 g
186,MS chicken breast fillet 800 g,Butchery,Poultry,Chicken,6.5,My Super,800 g
187,OC free range chicken whole 1.8 kg,Butchery,Poultry,Chicken,8,Only chicken,1.8 kg
188,OC chicken liver 500 g,Butchery,Poultry,Chicken,5,Only chicken,500 g
189,OC chicken mince 600 g,Butchery,Poultry,Chicken,5,Only chicken,600 g
190,OC chicken nuggets 500 g,Butchery,Poultry,Chicken,7,Only chicken,500 g
191,OC chicken schnitzel 700 g,Butchery,Poultry,Chicken,8,Only chicken,700 g
192,MS chicken nuggets 600 g,Butchery,Poultry,Chicken,6,Only chicken,600 g
193,OC chicken gordon blue 500 g,Butchery,Poultry,Chicken,5,Only chicken,500 g
194,MS turkey whole 4 kg,Butchery,Poultry,Turkey,45,My Super,4 kg
195,MS turkey breast 700 g,Butchery,Poultry,Turkey,10,My Super,700 g
196,MS turkey thigh 700 g,Butchery,Poultry,Turkey,10,My Super,700 g
197,MS gilt-head bream 700 g,Butchery,Seafood,Fish,9,My Super,700 g
198,MS gilt-head bream fillet 400 g,Butchery,Seafood,Fish,7,My Super,400 g
199,MS salmon fillet 400 g,Butchery,Seafood,Fish,7,My Super,400 g
200,MS sea bass 700 g,Butchery,Seafood,Fish,8,My Super,700 g
201,MS sea bass fillet 400 g,Butchery,Seafood,Fish,6,My Super,400 g
202,MS red porgy fillet 400 g,Butchery,Seafood,Fish,8,My Super,400 g
203,MS octopus 800 g,Butchery,Seafood,Octopus,13,My Super,800 g
204,MS octopus legs 400 g,Butchery,Seafood,Octopus,10,My Super,400 g
205,MS squid 800 g,Butchery,Seafood,Squid,8,My Super,800 g
206,MS squid legs 400 g,Butchery,Seafood,Squid,7,My Super,400 g
207,MS feta 400 g,Cheese and Lunch meat,Cheese,Feta,5,My Super,400 g
208,MS feta 800 g,Cheese and Lunch meat,Cheese,Feta,8,My Super,800 g
209,MS feta with brine 800 g,Cheese and Lunch meat,Cheese,Feta,9,My Super,800 g
210,BOBONI feta 500 g,Cheese and Lunch meat,Cheese,Feta,7,BOBONI,500 g
211,BOBONI feta 1 kg,Cheese and Lunch meat,Cheese,Feta,11,BOBONI,1 kg
212,BOBONI feta with brine 1 kg,Cheese and Lunch meat,Cheese,Feta,12,BOBONI,1 kg
213,BOBONI feta with brine 2 kg,Cheese and Lunch meat,Cheese,Feta,20,BOBONI,2 kg
214,MEGAL feta 800 g,Cheese and Lunch meat,Cheese,Feta,10,MEGAL,800 g
215,MEGAL feta 400 g,Cheese and Lunch meat,Cheese,Feta,6,MEGAL,400 g
216,MEGAL anthotyro 300 g,Cheese and Lunch meat,Cheese,White cheese,2.5,MEGAL,300 g
217,MS anthotyro 250 g,Cheese and Lunch meat,Cheese,White cheese,2,My Super,250 g
218,MS white cheese 500 g,Cheese and Lunch meat,Cheese,White cheese,4,My Super,500 g
219,MS white cheese 1 kg,Cheese and Lunch meat,Cheese,White cheese,7,My Super,1 kg
220,BOBONI white cheese 500 g,Cheese and Lunch meat,Cheese,White cheese,5,BOBONI,500 g
221,BOBONI white cheese 1 kg,Cheese and Lunch meat,Cheese,White cheese,8,BOBONI,1 kg
222,MS soft cheese in brine 500 g,Cheese and Lunch meat,Cheese,White cheese,4,My Super,500 g
223,MS goat white cheese 400 g,Cheese and Lunch meat,Cheese,White cheese,5,My Super,400 g
224,MS goat white cheese 800 g,Cheese and Lunch meat,Cheese,White cheese,8,My Super,800 g
225,MS sheep white cheese 500 g,Cheese and Lunch meat,Cheese,White cheese,5,My Super,500 g
226,MS manouri 200 g,Cheese and Lunch meat,Cheese,White cheese,3,My Super,200 g
227,MEGAL manouri 250 g,Cheese and Lunch meat,Cheese,White cheese,5,MEGAL,250 g
228,MS mizithra 400 g,Cheese and Lunch meat,Cheese,White cheese,5,My Super,400 g
229,BOBONI mizithra 500 g,Cheese and Lunch meat,Cheese,White cheese,7,BOBONI,500 g
230,BOBONI white cheese gluten free 400 g,Cheese and Lunch meat,Cheese,White cheese,6,BOBONI,400 g
231,BOBONI white cheese bio 400 g,Cheese and Lunch meat,Cheese,White cheese,7,BOBONI,400 g
232,BOBONI white cheese light 900 g,Cheese and Lunch meat,Cheese,White cheese,12,BOBONI,900 g
233,MS cottage 250 g,Cheese and Lunch meat,Cheese,Cream cheese,2,My Super,250 g
234,ABORO cottage 200 g,Cheese and Lunch meat,Cheese,Cream cheese,3,ABORO,200 g
235,ABORO cottage light 200 g,Cheese and Lunch meat,Cheese,Cream cheese,3.5,ABORO,200 g
236,ABORO katiki 200 g,Cheese and Lunch meat,Cheese,Cream cheese,3,ABORO,200 g
237,ABORO high protein cottage 200 g,Cheese and Lunch meat,Cheese,Cream cheese,4.5,ABORO,200 g
238,MS cream cheese 300 g,Cheese and Lunch meat,Cheese,Cream cheese,2.5,My Super,300 g
239,MS cream cheese light 300 g,Cheese and Lunch meat,Cheese,Cream cheese,3,My Super,300 g
240,MEGAL cream cheese 300 g,Cheese and Lunch meat,Cheese,Cream cheese,3.5,MEGAL,300 g
241,MEGAL cream cheese light 300 g,Cheese and Lunch meat,Cheese,Cream cheese,4,MEGAL,300 g
242,MS mascarpone 250 g,Cheese and Lunch meat,Cheese,Cream cheese,3,My Super,250 g
243,MS garlic cream cheese 200 g,Cheese and Lunch meat,Cheese,Cream cheese,3,My Super,200 g
244,MS ricotta 200 g,Cheese and Lunch meat,Cheese,Cream cheese,4,My Super,200 g
245,MS quesso cheddar cream 250 g,Cheese and Lunch meat,Cheese,Cream cheese,4,My Super,250 g
246,MEGAL feta cream cheese 200 g,Cheese and Lunch meat,Cheese,Cream cheese,3.6,MEGAL,200 g
247,MEGAL blue cheese cream 250 g,Cheese and Lunch meat,Cheese,Cream cheese,4,MEGAL,250 g
248,MS mozzarella sticks 200 g,Cheese and Lunch meat,Cheese,Mozzarella,3,My Super,200 g
249,MS mozzarella bites 250 g,Cheese and Lunch meat,Cheese,Mozzarella,4,My Super,250 g
250,MS mozzarella 250 g,Cheese and Lunch meat,Cheese,Mozzarella,3.5,My Super,250 g
251,ABORO mozzarella 300 g,Cheese and Lunch meat,Cheese,Mozzarella,5,ABORO,300 g
252,MEGAL mozzarella 200 g,Cheese and Lunch meat,Cheese,Mozzarella,3,MEGAL,200 g
253,MS graviera naxou 250 g,Cheese and Lunch meat,Cheese,Graviera,4,My Super,250 g
254,MS graviera crete 250 g,Cheese and Lunch meat,Cheese,Graviera,4,My Super,250 g
255,MS kefalograviera amfilochias 250 g,Cheese and Lunch meat,Cheese,Graviera,4,My Super,250 g
256,MEGAL graviera 250 g,Cheese and Lunch meat,Cheese,Graviera,4.5,MEGAL,250 g
257,MEGAL graviera grated 200 g,Cheese and Lunch meat,Cheese,Graviera,4.5,MEGAL,200 g
258,MEGAL sweet graviera 150 g,Cheese and Lunch meat,Cheese,Graviera,3.5,MEGAL,150 g
259,MS kefalotyri 250 g,Cheese and Lunch meat,Cheese,Kefalotyri,3,My Super,250 g
260,ABORO kefalotyri 200 g,Cheese and Lunch meat,Cheese,Kefalotyri,3,ABORO,200 g
